#,Time,Layers Count,Optimizer,Error Count,Accuracy,Fin-T-Loss,Fin-V-Loss
m11,15:14:39,5,Adam,101,0,542,570
m11,15:14:26,5,Adam,101,0,542,570
m11,15:14:08,5,Adam,101,0,542,570
m11,15:13:55,5,Adam,101,0,542,570
m11,15:13:40,5,Adam,101,0,542,570
m11,15:13:29,5,Adam,101,0,542,570
m11,15:13:18,5,Adam,101,0,542,570
m11,15:12:50,5,Adam,101,0,542,570
m11,15:12:28,5,Adam,101,0,542,570
m11,15:12:10,5,Adam,101,0,542,570
m10,15:11:56,5,Adam,101,0,542,570
m10,15:11:29,5,Adam,101,0,542,570
m10,15:11:02,5,Adam,101,0,542,570
m10,15:10:34,5,Adam,101,0,542,570
m10,15:10:06,5,Adam,101,0,542,570
m10,15:09:36,5,Adam,101,0,542,570
m10,15:09:02,5,Adam,101,0,542,570
m10,15:08:30,5,Adam,101,0,542,570
m10,15:08:01,5,Adam,101,0,542,570
m10,15:07:34,5,Adam,101,0,542,570
m9,15:07:06,5,Adam,101,0,542,570
m9,15:06:38,5,Adam,101,0,542,570
m9,15:06:09,5,Adam,101,0,542,570
m9,15:05:37,5,Adam,101,0,542,570
m9,15:04:40,5,Adam,101,0,542,570
m9,15:03:09,5,Adam,101,0,542,570
m9,15:02:40,5,Adam,101,0,542,570
m9,15:02:11,5,Adam,101,0,542,570
m9,15:01:42,5,Adam,101,0,542,570
m9,15:01:13,5,Adam,101,0,542,570
m8,15:00:42,5,Adam,101,0,542,570
m8,15:00:21,5,Adam,101,0,542,570
m8,14:59:48,5,Adam,101,0,542,570
m8,14:59:21,5,Adam,101,0,542,570
m8,14:59:04,5,Adam,101,0,542,570
m8,14:58:46,5,Adam,101,0,542,570
m8,14:58:34,5,Adam,101,0,542,570
m8,14:58:16,5,Adam,101,0,542,570
m8,14:57:58,5,Adam,101,0,542,570
m8,14:57:41,5,Adam,101,0,542,570
m7,14:57:19,5,Adam,46,54,84,83
m7,14:56:51,5,Adam,46,54,84,83
m7,14:56:23,5,Adam,46,54,84,83
m7,14:55:56,5,Adam,46,54,84,83
m7,14:55:29,5,Adam,46,54,84,83
m7,14:55:03,5,Adam,46,54,84,83
m7,14:54:36,5,Adam,46,54,84,83
m7,14:54:09,5,Adam,46,54,84,83
m7,14:53:42,5,Adam,46,54,84,83
m7,14:53:15,5,Adam,46,54,84,83
m6,14:52:48,5,Adam,20,80,16,23
m6,14:52:31,5,Adam,21,79,14,27
m6,14:52:15,5,Adam,19,81,14,24
m6,14:51:53,5,Adam,21,79,13,26
m6,14:51:37,5,Adam,85,16,249,265
m6,14:51:10,5,Adam,17,83,11,27
m6,14:50:57,5,Adam,22,78,11,25
m6,14:50:42,5,Adam,23,77,13,27
m6,14:50:27,5,Adam,24,76,13,26
m6,14:50:09,5,Adam,19,81,17,25
m5,14:49:54,4,SGD,45,55,86,93
m5,14:49:45,4,SGD,45,55,86,83
m5,14:49:35,4,SGD,46,54,85,83
m5,14:49:23,4,SGD,46,54,85,83
m5,14:49:14,4,SGD,46,54,87,94
m5,14:48:59,4,SGD,46,54,85,83
m5,14:48:51,4,SGD,45,55,85,83
m5,14:48:42,4,SGD,46,54,88,83
m5,14:48:27,4,SGD,46,54,86,83
m5,14:48:14,4,SGD,46,54,85,83
m4,14:47:54,4,Adam,18,82,16,24
m4,14:47:36,4,Adam,17,83,15,20
m4,14:47:14,4,Adam,23,77,14,27
m4,14:46:55,4,Adam,23,77,17,25
m4,14:46:32,4,Adam,20,80,16,23
m4,14:46:10,4,Adam,24,76,14,27
m4,14:45:49,4,Adam,24,76,14,27
m4,14:45:27,4,Adam,25,75,15,27
m4,14:45:08,4,Adam,22,78,17,23
m4,14:44:41,4,Adam,23,77,15,26
m3,14:44:22,4,Adam,19,81,19,23
m3,14:43:56,4,Adam,19,81,19,22
m3,14:43:31,4,Adam,24,76,18,25
m3,14:43:09,4,Adam,18,82,22,22
m3,14:42:43,4,Adam,85,16,249,265
m3,14:42:15,4,Adam,21,79,18,25
m3,14:41:53,4,Adam,22,78,15,26
m3,14:41:33,4,Adam,22,78,13,26
m3,14:41:08,4,Adam,23,77,14,27
m3,14:40:46,4,Adam,24,76,15,27
m2,14:40:22,3,Adam,24,76,22,25
m2,14:39:57,3,Adam,24,76,24,24
m2,14:39:31,3,Adam,21,79,21,24
m2,14:39:06,3,Adam,23,77,24,24
m2,14:38:41,3,Adam,23,77,23,25
m2,14:38:16,3,Adam,18,82,19,23
m2,14:37:51,3,Adam,23,77,22,26
m2,14:37:25,3,Adam,20,80,21,23
m2,14:36:59,3,Adam,20,80,21,23
m2,14:36:33,3,Adam,21,79,22,23
m1,14:36:08,3,Adam,27,73,27,28
m1,14:35:43,3,Adam,23,77,24,25
m1,14:35:18,3,Adam,31,69,26,28
m1,14:34:53,3,Adam,23,77,25,25
m1,14:34:27,3,Adam,31,69,29,30
m1,14:34:02,3,Adam,23,77,24,25
m1,14:33:37,3,Adam,23,77,20,25
m1,14:33:12,3,Adam,28,72,23,28
m1,14:32:47,3,Adam,24,76,25,25
m1,14:32:20,3,Adam,31,69,30,32
